Date,Value,"Statut","Qualification","Méthode","Continuité"
2020-04-19T00:00:00.000Z,"1730","16",20,10,0
2020-04-20T00:00:00.000Z,"1810","16",20,10,0
2020-04-21T00:00:00.000Z,"2190","16",20,10,0
2020-04-22T00:00:00.000Z,"2310","16",20,10,0
2020-04-23T00:00:00.000Z,"2720","16",20,10,0
2020-04-24T00:00:00.000Z,"2040","16",20,10,0
2020-04-25T00:00:00.000Z,"1710","16",20,10,0
2020-04-26T00:00:00.000Z,"2050","16",20,10,0
2020-04-27T00:00:00.000Z,"1800","16",20,10,0
2020-04-28T00:00:00.000Z,"2490","16",20,10,0
2020-04-29T00:00:00.000Z,"2560","16",20,10,0
2020-04-30T00:00:00.000Z,"2170","16",20,10,0
2020-05-01T00:00:00.000Z,"3420","16",20,10,0
2020-05-02T00:00:00.000Z,"17200","16",20,10,0
2020-05-03T00:00:00.000Z,"17800","16",20,10,0
2020-05-04T00:00:00.000Z,"13300","16",20,10,0
2020-05-05T00:00:00.000Z,"8030","16",20,10,0
2020-05-06T00:00:00.000Z,"6810","16",20,10,0
2020-05-07T00:00:00.000Z,"5580","16",20,10,0
2020-05-08T00:00:00.000Z,"4620","16",20,10,0
2020-05-09T00:00:00.000Z,"4540","16",20,10,0
2020-05-10T00:00:00.000Z,"4060","16",20,10,0
2020-05-11T00:00:00.000Z,"4310","16",20,10,0
2020-05-12T00:00:00.000Z,"4270","16",20,10,0
2020-05-13T00:00:00.000Z,"5010","16",20,10,0
2020-05-14T00:00:00.000Z,"8770","16",20,10,0
2020-05-15T00:00:00.000Z,"4960","16",20,10,0
2020-05-16T00:00:00.000Z,"4300","16",20,10,0
2020-05-17T00:00:00.000Z,"3510","16",20,10,0
2020-05-18T00:00:00.000Z,"3130","16",20,10,0
2020-05-19T00:00:00.000Z,"3310","16",20,10,0
2020-05-20T00:00:00.000Z,"2190","16",20,10,0
2020-05-21T00:00:00.000Z,"2340","16",20,10,0
2020-05-22T00:00:00.000Z,"2270","16",20,10,0
2020-05-23T00:00:00.000Z,"2290","16",20,10,0
2020-05-24T00:00:00.000Z,"2600","16",20,10,0
2020-05-25T00:00:00.000Z,"2360","16",20,10,0
2020-05-26T00:00:00.000Z,"1910","16",20,10,0
2020-05-27T00:00:00.000Z,"1760","16",20,10,0
2020-05-28T00:00:00.000Z,"1550","16",20,10,0
2020-05-29T00:00:00.000Z,"1490","16",20,10,0
2020-05-30T00:00:00.000Z,"1490","16",20,10,0
2020-05-31T00:00:00.000Z,"956","16",20,10,0
2020-06-01T00:00:00.000Z,"1040","16",20,10,0
2020-06-02T00:00:00.000Z,"1370","16",20,10,0
2020-06-03T00:00:00.000Z,"1830","16",20,10,0
2020-06-04T00:00:00.000Z,"6000","16",20,10,0
2020-06-05T00:00:00.000Z,"2570","16",20,10,0
2020-06-06T00:00:00.000Z,"1790","16",20,10,0
2020-06-07T00:00:00.000Z,"2210","16",20,10,0
2020-06-08T00:00:00.000Z,"1870","16",20,10,0
2020-06-09T00:00:00.000Z,"1720","16",20,10,0
2020-06-10T00:00:00.000Z,"1520","16",20,10,0
2020-06-11T00:00:00.000Z,"1620","16",20,10,0
2020-06-12T00:00:00.000Z,"54000","16",12,10,0
2020-06-13T00:00:00.000Z,"57700","16",12,10,0
2020-06-14T00:00:00.000Z,"26300","16",20,10,0
2020-06-15T00:00:00.000Z,"19500","16",20,10,0
2020-06-16T00:00:00.000Z,"14300","16",20,10,0
2020-06-17T00:00:00.000Z,"13800","16",20,10,0
2020-06-18T00:00:00.000Z,"11300","16",20,10,0
2020-06-19T00:00:00.000Z,"8720","16",20,10,0
